,genre,accuracy_score,precision,recall,fscore,roc_auc,classifier
32,musical,0.9778676820561637,0.9778676820561637,0.9778676820561637,0.9778676820561637,0.8052866947686987,MultinomialNB
33,mystery,0.98857686815802,0.98857686815802,0.98857686815802,0.98857686815802,0.8201507497393954,MultinomialNB
34,political,1.0,1.0,1.0,1.0,,MultinomialNB
35,romance,0.9357448833888624,0.9357448833888624,0.9357448833888624,0.9357448833888624,0.8480316898004887,MultinomialNB
36,series,0.995954307472632,0.995954307472632,0.995954307472632,0.995954307472632,0.8424696043291868,MultinomialNB
37,short,0.9978581627796288,0.9978581627796288,0.9978581627796288,0.9978581627796288,0.6128546733428708,MultinomialNB
38,sports,0.9983341266063779,0.9983341266063779,0.9983341266063779,0.9983341266063779,0.649531755491231,MultinomialNB
39,thriller,0.9109947643979057,0.9109947643979057,0.9109947643979057,0.9109947643979057,0.7890523407737179,MultinomialNB
40,action,0.8619704902427415,0.8619704902427415,0.8619704902427415,0.8619704902427414,0.8502678365265051,LogisticRegression
41,adult,0.9985721085197525,0.9985721085197525,0.9985721085197525,0.9985721085197525,0.7125039720368604,LogisticRegression
42,animation,0.9809614469300333,0.9809614469300333,0.9809614469300333,0.9809614469300333,0.83260452392618,LogisticRegression
43,biography,0.9881009043312708,0.9881009043312708,0.9881009043312708,0.9881009043312708,0.635179101979328,LogisticRegression
44,black,0.9835792479771537,0.9835792479771537,0.9835792479771537,0.9835792479771537,0.8364071996259934,LogisticRegression
45,children,0.9861970490242742,0.9861970490242742,0.9861970490242742,0.9861970490242742,0.6252686572099329,LogisticRegression
46,comedy,0.8272251308900523,0.8272251308900523,0.8272251308900523,0.8272251308900523,0.8111002164641334,LogisticRegression
47,crime,0.9704902427415516,0.9704902427415516,0.9704902427415516,0.9704902427415516,0.8105795847179371,LogisticRegression
48,documentary,0.99428843407901,0.99428843407901,0.99428843407901,0.99428843407901,0.7146461624381681,LogisticRegression
49,drama,0.7184673964778677,0.7184673964778677,0.7184673964778677,0.7184673964778677,0.7299451261209061,LogisticRegression
50,fantasy,0.9897667777248929,0.9897667777248929,0.9897667777248929,0.9897667777248929,0.5974145683453238,LogisticRegression
51,history,0.9973821989528796,0.9973821989528796,0.9973821989528796,0.9973821989528796,0.6716123294505542,LogisticRegression
52,musical,0.9762018086625417,0.9762018086625417,0.9762018086625417,0.9762018086625417,0.8058771076523995,LogisticRegression
53,mystery,0.9890528319847691,0.9890528319847691,0.9890528319847691,0.9890528319847691,0.8168604495763505,LogisticRegression
54,political,1.0,1.0,1.0,1.0,,LogisticRegression
55,romance,0.951451689671585,0.951451689671585,0.951451689671585,0.951451689671585,0.8342072591285179,LogisticRegression
56,series,0.9961922893860067,0.9961922893860067,0.9961922893860067,0.9961922893860067,0.8960292360671869,LogisticRegression
57,short,0.9980961446930033,0.9980961446930033,0.9980961446930033,0.9980961446930033,0.7728898426323318,LogisticRegression
58,sports,0.9983341266063779,0.9983341266063779,0.9983341266063779,0.9983341266063779,0.7128554401498383,LogisticRegression
59,thriller,0.907425035697287,0.907425035697287,0.907425035697287,0.907425035697287,0.8279910375186597,LogisticRegression
